date,Sum of TOTAL TIME - AHT (sec),Sum of TOTAL TIME - AHT - FORECAST (sec),Sum of VOLUME - RECEIVED,Sum of VOLUME - FORECAST
5/30/2016,0,,0,0
5/31/2016,349737,,604,700
6/1/2016,295630,,560,537
6/2/2016,297452,,545,503
6/3/2016,286719,,460,515
6/4/2016,0,,0,0
6/5/2016,0,,0,0
6/6/2016,330654,,657,587
6/7/2016,306756,,542,510
6/8/2016,265819,,433,476
6/9/2016,266900,,419,471
6/10/2016,270571,,439,497
6/11/2016,0,,0,0
6/12/2016,0,,0,0
6/13/2016,326218,,585,598
6/14/2016,270822,,423,508
6/15/2016,291360,,463,441
6/16/2016,268691,,473,456
6/17/2016,262687,,456,421
6/18/2016,0,,0,0
6/19/2016,0,,0,0
6/20/2016,386103,,692,623
6/21/2016,342212,,607,536
6/22/2016,299481,,500,457
6/23/2016,277860,,511,460
6/24/2016,343658,,585,405
6/25/2016,0,,0,0
6/26/2016,0,,0,0
6/27/2016,404010,,716,675
6/28/2016,315432,,562,593
6/29/2016,325702,,553,553
6/30/2016,266641,,465,438
7/1/2016,271306,,454,428
7/2/2016,0,,0,0
7/3/2016,0,,0,0
7/4/2016,0,,0,0
7/5/2016,374622,,651,682
7/6/2016,284892,,542,519
7/7/2016,268776,,450,492
7/8/2016,320878,,538,538
7/9/2016,0,,0,0
7/10/2016,0,,0,0
7/11/2016,411225,,698,774
7/12/2016,426157,,751,631
7/13/2016,388902,,592,583
7/14/2016,304195,,537,550
7/15/2016,360414,,606,532
7/16/2016,0,,0,0
7/17/2016,0,,0,0
7/18/2016,461203,,824,728
7/19/2016,395487,,655,591
7/20/2016,402936,,680,544
7/21/2016,336588,,556,511
7/22/2016,311122,,531,511
7/23/2016,0,,0,0
7/24/2016,0,,0,0
7/25/2016,429161,,706,735
7/26/2016,371958,,607,589
7/27/2016,332862,,560,537
7/28/2016,347230,,561,496
7/29/2016,353764,,575,521
7/30/2016,0,,0,0
7/31/2016,0,,0,0
8/1/2016,383140,,675,718
8/2/2016,301541,,575,566
8/3/2016,309753,,570,528
8/4/2016,283244,,508,491
8/5/2016,275490,,502,508
8/6/2016,0,,0,0
8/7/2016,0,,0,0
8/8/2016,326326,,658,755
8/9/2016,298398,,543,614
8/10/2016,324430,,517,572
8/11/2016,285176,,492,544
8/12/2016,251991,,431,562
8/13/2016,26,,1,0
8/14/2016,0,,0,0
8/15/2016,369331,,652,741
8/16/2016,304155,,547,600
8/17/2016,343388,,580,572
8/18/2016,282932,,501,523
8/19/2016,275989,,487,541
8/20/2016,0,,0,0
8/21/2016,0,,0,0
8/22/2016,372722,,643,682
8/23/2016,335798,,529,639
8/24/2016,313084,,536,547
8/25/2016,321857,,567,478
8/26/2016,301760,,563,480
8/27/2016,0,,0,0
8/28/2016,0,,0,0
8/29/2016,410471,,726,622
8/30/2016,329088,,599,529
8/31/2016,365755,,582,500
9/1/2016,304369,,526,473
9/2/2016,283703,,489,475
9/3/2016,0,,0,0
9/4/2016,0,,0,0
9/5/2016,0,,0,0
9/6/2016,424894,,765,639
9/7/2016,354608,,603,544
9/8/2016,289436,,498,456
9/9/2016,313339,,505,462
9/10/2016,0,,0,0
9/11/2016,0,,0,0
9/12/2016,418228,,691,709
9/13/2016,364524,,602,562
9/14/2016,360200,,559,529
9/15/2016,310620,,485,491
9/16/2016,255282,,456,503
9/17/2016,0,,0,0
9/18/2016,0,,0,0
9/19/2016,395719,,660,689
9/20/2016,350984,,603,578
9/21/2016,316712,,514,547
9/22/2016,293483,,521,511
9/23/2016,254414,,482,512
9/24/2016,0,,0,0
9/25/2016,0,,0,0
9/26/2016,415171,,640,689
9/27/2016,327820,,559,578
9/28/2016,298354,,495,547
9/29/2016,290840,,518,508
9/30/2016,320336,,543,502
10/1/2016,0,,0,0
10/2/2016,0,,0,0
10/3/2016,437144,,746,761
10/4/2016,389353,,656,678
10/5/2016,455194,,722,604
10/6/2016,395417,,668,567
10/7/2016,343966,,551,529
10/8/2016,0,,0,0
10/9/2016,0,,0,0
10/10/2016,362748,,612,691
10/11/2016,437854,,718,691
10/12/2016,473762,,733,728
10/13/2016,437496,,663,728
10/14/2016,371366,,639,801
10/15/2016,0,,0,0
10/16/2016,0,,0,0
10/17/2016,545046,,907,830
10/18/2016,414780,,740,683
10/19/2016,346162,,612,611
10/20/2016,363659,,583,601
10/21/2016,362246,,542,542
10/22/2016,0,,0,0
10/23/2016,0,,0,0
10/24/2016,435224,,729,692
10/25/2016,372982,,582,620
10/26/2016,353427,,548,603
10/27/2016,287770,,525,570
10/28/2016,355590,,595,532
10/29/2016,0,,0,0
10/30/2016,0,,0,0
10/31/2016,413635,,716,689
11/1/2016,370262,,600,613
11/2/2016,350148,,532,578
11/3/2016,317710,,528,554
11/4/2016,307415,,516,514
11/5/2016,0,,0,0
11/6/2016,0,,0,0
11/7/2016,423050,,717,748
11/8/2016,330436,,537,663
11/9/2016,391031,,623,682
11/10/2016,309216,,537,587
11/11/2016,293557,,524,554
11/12/2016,0,,0,0
11/13/2016,0,,0,0
11/14/2016,433540,,772,780
11/15/2016,378248,,719,692
11/16/2016,376215,,648,640
11/17/2016,371990,,668,613
11/18/2016,366578,,676,582
11/19/2016,0,,0,0
11/20/2016,0,,0,0
11/21/2016,468324,,804,710
11/22/2016,413209,,695,646
11/23/2016,316539,,509,538
11/24/2016,0,,0,0
11/25/2016,169478,,313,240
11/26/2016,0,,0,0
11/27/2016,0,,0,0
11/28/2016,499706,,805,756
11/29/2016,401445,,699,664
11/30/2016,429175,,701,627
12/1/2016,377958,,667,604
12/2/2016,354780,,601,581
12/3/2016,0,,0,0
12/4/2016,0,,0,0
12/5/2016,498801,,841,768
12/6/2016,421849,,708,674
12/7/2016,405543,,652,638
12/8/2016,385057,,668,615
12/9/2016,416969,,707,591
12/10/2016,0,,0,0
12/11/2016,0,,0,0
12/12/2016,584985,,869,841
12/13/2016,525854,,784,739
12/14/2016,447857,,697,699
12/15/2016,421000,,648,673
12/16/2016,416930,,660,647
12/17/2016,0,,0,0
12/18/2016,0,,0,0
12/19/2016,559470,,852,838
12/20/2016,493607,,801,725
12/21/2016,437946,,705,693
12/22/2016,407585,,656,662
12/23/2016,320255,,509,658
12/24/2016,0,,0,0
12/25/2016,0,,0,0
12/26/2016,0,,0,769
12/27/2016,559048,,914,1010
12/28/2016,549840,,848,983
12/29/2016,567351,,876,959
12/30/2016,474557,,780,841
12/31/2016,0,,0,0
1/1/2017,,,,0
1/2/2017,69683,,134,126
1/3/2017,292098,,501,543
1/4/2017,304985,,422,476
1/5/2017,265326,,433,420
1/6/2017,218116,,383,348
1/7/2017,0,,0,0
1/8/2017,0,,0,0
1/9/2017,300820,,470,442
1/10/2017,273271,,395,396
1/11/2017,227908,,362,369
1/12/2017,229716,,328,358
1/13/2017,226320,,355,346
1/14/2017,0,,0,0
1/15/2017,0,,0,0
1/16/2017,157879,,251,245
1/17/2017,326072,,528,441
1/18/2017,303168,,467,429
1/19/2017,253635,,402,339
1/20/2017,217500,,347,292
1/21/2017,0,,0,0
1/22/2017,0,,0,0
1/23/2017,353649,,525,322
1/24/2017,270202,,414,291
1/25/2017,232114,,375,311
1/26/2017,245703,,383,268
1/27/2017,218080,,350,262
1/28/2017,0,,0,0
1/29/2017,0,,0,0
1/30/2017,295917,,474,341
1/31/2017,261647,,399,307
2/1/2017,187841,,312,333
2/2/2017,231990,,378,288
2/3/2017,220858,,348,281
2/4/2017,0,,0,0
2/5/2017,0,,0,0
2/6/2017,313255,,536,430
2/7/2017,274553,,437,361
2/8/2017,201502,,327,345
2/9/2017,204276,,336,337
2/10/2017,217702,,335,329
2/11/2017,0,,0,0
2/12/2017,0,,0,0
2/13/2017,268530,,459,447
2/14/2017,209368,,375,376
2/15/2017,222732,,345,339
2/16/2017,203516,,342,344
2/17/2017,268102,,399,344
2/18/2017,0,,0,0
2/19/2017,0,,0,0
2/20/2017,147926,,266,191
2/21/2017,293129,,467,441
2/22/2017,252807,,403,371
2/23/2017,204383,,345,347
2/24/2017,189311,,347,299
2/25/2017,0,,0,0
2/26/2017,0,,0,0
2/27/2017,237272,,436,500
2/28/2017,195880,,340,410
3/1/2017,191277,,331,349
3/2/2017,188011,,340,358
3/3/2017,180433,,349,363
3/4/2017,0,,0,0
3/5/2017,0,,0,0
3/6/2017,236470,,409,504
3/7/2017,209805,,368,414
3/8/2017,179893,,306,352
3/9/2017,141077,,256,362
3/10/2017,180000,,310,366
3/11/2017,0,,0,0
3/12/2017,0,,0,0
3/13/2017,258360,,394,501
3/14/2017,221537,,372,408
3/15/2017,215004,,364,355
3/16/2017,160140,,270,365
3/17/2017,180042,,290,370
3/18/2017,0,,0,0
3/19/2017,,,,
3/20/2017,255046,,427,446
3/21/2017,238101,,393,439
3/22/2017,209545,,325,390
3/23/2017,179794,,313,386
3/24/2017,206329,,328,362
3/25/2017,224,,1,0
3/26/2017,0,,0,0
3/27/2017,343203,,600,626
3/28/2017,235325,,420,526
3/29/2017,241578,,463,460
3/30/2017,239623,,395,445
3/31/2017,231913,,419,462
4/1/2017,0,,0,0
4/2/2017,0,,0,0
4/3/2017,355063,,635,565
4/4/2017,270279,,536,542
4/5/2017,300790,,526,481
4/6/2017,287577,,535,466
4/7/2017,296661,,510,480
4/8/2017,0,,0,0
4/9/2017,0,,0,0
4/10/2017,423752,,756,769
4/11/2017,401428,,814,644
4/12/2017,399678,,684,573
4/13/2017,405705,,696,542
4/14/2017,338376,,561,510
4/15/2017,0,,0,0
4/16/2017,0,,0,0
4/17/2017,588366,,1113,812
4/18/2017,401185,,635,686
4/19/2017,191970,,394,290
4/20/2017,164362,,340,296
4/21/2017,181792,,347,333
4/22/2017,0,,0,0
4/23/2017,0,,0,0
4/24/2017,207885,,458,370
4/25/2017,222694,,428,322
4/26/2017,169476,,354,294
4/27/2017,165004,,332,274
4/28/2017,152280,,273,280
4/29/2017,0,,0,0
4/30/2017,,,,
5/1/2017,205173,,456,346
5/2/2017,168656,,333,282
5/3/2017,150970,,319,248
5/4/2017,118190,,275,229
5/5/2017,139250,,291,231
5/6/2017,0,,0,0
5/7/2017,,,,
5/8/2017,165608,,334,350
5/9/2017,133032,,281,288
5/10/2017,116424,,233,250
5/11/2017,125103,,234,233
5/12/2017,137772,,272,229
5/13/2017,0,,0,0
5/14/2017,0,,0,0
5/15/2017,177822,,375,408
5/16/2017,156480,,331,329
5/17/2017,122550,,262,290
5/18/2017,118305,,285,265
5/19/2017,136584,,256,262
5/20/2017,,,0,0
5/21/2017,,,0,0
5/22/2017,148658,,323,326
5/23/2017,139802,,259,265
5/24/2017,137935,,245,230
5/25/2017,203685,,272,213
5/26/2017,120396,,256,211
5/27/2017,,,0,0
5/28/2017,,,0,0
5/29/2017,,,0,0
5/30/2017,151956,,364,325
5/31/2017,155925,,332,312
6/1/2017,138334,,290,278
6/2/2017,146566,,278,251
6/3/2017,,,0,0
6/4/2017,,,0,0
6/5/2017,203484,,424,346
6/6/2017,139037,,263,277
6/7/2017,145817,,276,237
6/8/2017,132678,,276,228
6/9/2017,138920,,234,223
6/10/2017,,,0,0
6/11/2017,,,0,0
6/12/2017,153720,,317,315
6/13/2017,137372,,270,260
6/14/2017,137826,,256,222
6/15/2017,133425,,242,221
6/16/2017,124660,,233,212
6/17/2017,,,0,0
6/18/2017,,,0,0
6/19/2017,189507,,350,353
6/20/2017,173952,,309,275
6/21/2017,132884,,261,246
6/22/2017,151373,,282,244
6/23/2017,131810,,247,236
6/24/2017,,,0,0
6/25/2017,,,0,0
6/26/2017,227256,,418,381
6/27/2017,163464,,295,294
6/28/2017,131220,,283,258
6/29/2017,140940,,301,252
6/30/2017,135456,,255,240
7/1/2017,,,0,0
7/2/2017,,,0,0
7/3/2017,141607,,284,291
7/5/2017,172972,,368,350
7/6/2017,190820,,368,268
7/7/2017,185640,,360,256
7/8/2017,,,0,0
7/9/2017,,,0,0
7/10/2017,209600,,429,471
7/11/2017,172500,,331,368
7/12/2017,159572,,327,334
7/13/2017,205344,,394,340
7/14/2017,187525,,365,313
7/15/2017,,,0,0
7/16/2017,,,0,0
7/17/2017,247940,,544,435
7/18/2017,169575,,358,337
7/19/2017,154524,,336,311
7/20/2017,155189,,334,321
7/21/2017,185250,,330,291
7/22/2017,,,0,0
7/23/2017,,,0,0
7/24/2017,219646,,414,420
7/25/2017,178610,,337,327
7/26/2017,141400,,282,305
7/27/2017,149060,,357,317
7/28/2017,146316,,267,287
7/29/2017,,,0,0
7/30/2017,,,0,0
7/31/2017,209520,,403,442
8/1/2017,305655,,316,336
8/2/2017,141932,,276,314
8/3/2017,201563,,359,328
8/4/2017,176346,,302,305
8/5/2017,,,0,0
8/6/2017,,,0,0
8/7/2017,191026,,420,400
8/8/2017,166896,,359,303
8/9/2017,168210,,324,283
8/10/2017,166440,,297,307
8/11/2017,160254,,263,270
8/12/2017,,,0,0
8/13/2017,,,0,0
8/14/2017,184471,,363,447
8/15/2017,155482,,295,338
8/16/2017,176700,,309,310
8/17/2017,129032,,262,348
8/18/2017,125664,,237,305
8/19/2017,,,0,0
8/20/2017,,,0,0
8/21/2017,158270,,325,452
8/22/2017,176400,,333,351
8/23/2017,161568,,310,320
8/24/2017,129585,,267,353
8/25/2017,136740,,277,310
8/26/2017,,,0,0
8/27/2017,,,0,0
8/28/2017,196345,,374,450
8/29/2017,166796,,328,360
8/30/2017,150696,,280,324
8/31/2017,165880,,294,360
9/1/2017,175800,,317,306
9/2/2017,,,0,0
9/3/2017,,,0,0
9/4/2017,,,0,0
9/5/2017,278142,,543,420
9/6/2017,265594,,463,350
9/7/2017,204276,,364,322
9/8/2017,162045,,417,308
9/9/2017,,,0,0
9/10/2017,,,0,0
9/11/2017,244500,,476,398
9/12/2017,249102,,429,319
9/13/2017,200208,,347,287
9/14/2017,221340,,370,319
9/15/2017,176748,,311,271
9/16/2017,,,0,0
9/17/2017,,,0,0
9/18/2017,238620,,411,433
9/19/2017,214110,,393,346
9/20/2017,190568,,329,312
9/21/2017,151688,,274,346
9/22/2017,177851,,296,294
9/23/2017,,,0,0
9/24/2017,,,0,0
9/25/2017,212040,,389,466
9/26/2017,166161,,323,373
9/27/2017,171524,,327,336
9/28/2017,147371,,268,373
9/29/2017,214420,,317,317
9/30/2017,,,0,0
10/1/2017,,,0,0
10/2/2017,209684,,395,520
10/3/2017,245124,,413,416
10/4/2017,243950,,441,374
10/5/2017,181792,,305,416
10/6/2017,203490,,353,353
10/7/2017,,,0,0
10/8/2017,,,0,0
10/9/2017,237510,,410,553
10/10/2017,254016,,442,442
10/11/2017,257904,,479,398
10/12/2017,260832,,470,442
10/13/2017,264882,,443,376
10/14/2017,,,0,0
10/15/2017,,,0,0
10/16/2017,349564,,630,442
10/17/2017,203885,,355,354
10/18/2017,206991,,357,318
10/19/2017,174496,,308,354
10/20/2017,182484,,287,301
10/21/2017,,,0,0
10/22/2017,,,0,0
10/23/2017,232981,,415,412
10/24/2017,185610,,346,330
10/25/2017,167958,,303,297
10/26/2017,180576,,299,330
10/27/2017,150405,,275,280
10/28/2017,,,0,0
10/29/2017,,,0,0
10/30/2017,211759,,370,427
10/31/2017,168454,,286,341
11/1/2017,210596,,344,307
11/2/2017,140700,,277,341
11/3/2017,168516,,306,290
11/4/2017,,,0,0
11/5/2017,,,0,0
11/6/2017,220572,,408,426
11/7/2017,195650,,326,341
11/8/2017,163684,,307,307
11/9/2017,178514,,330,341
11/10/2017,181448,,320,290
11/11/2017,,,0,0
11/12/2017,,,0,0
11/13/2017,214020,,421,446
11/14/2017,226314,,411,337
11/15/2017,186584,,334,330
11/16/2017,184464,,339,308
11/17/2017,161600,,338,304
11/18/2017,,,0,0
11/19/2017,,,0,0
11/20/2017,291116,,573,400
11/21/2017,209790,,383,359
11/22/2017,154944,,302,257
11/23/2017,,,0,0
11/24/2017,63980,,152,171
11/25/2017,,,0,0
11/26/2017,,,0,0
11/27/2017,246048,,475,491
11/28/2017,254370,,441,393
11/29/2017,246447,,435,354
11/30/2017,212760,,384,393
12/1/2017,213180,,379,334
12/2/2017,,,0,0
12/3/2017,,,0,0
12/4/2017,307242,,535,513
12/5/2017,257792,,460,410
12/6/2017,248540,,439,369
12/7/2017,225600,,410,410
12/8/2017,173720,,349,349
12/9/2017,,,0,0
12/10/2017,,,0,0
12/11/2017,296562,,486,569
12/12/2017,239694,,446,484
12/13/2017,219696,,424,480
12/14/2017,222894,,451,434
12/15/2017,255905,,469,433
12/16/2017,,,0,0
12/17/2017,,,0,0
12/18/2017,366336,,608,496
12/19/2017,283819,,504,430
12/20/2017,308932,,519,417
12/21/2017,282920,,514,391
12/22/2017,296815,,475,383
12/23/2017,,,0,0
12/24/2017,,,0,0
12/25/2017,,,0,0
12/26/2017,318006,,502,613
12/27/2017,359788,,681,539
12/28/2017,377622,,542,515
12/29/2017,325380,,599,490
12/30/2017,,,0,0
12/31/2017,,,0,0
1/1/2018,12312,,27,158
1/2/2018,338715,,602,563
1/3/2018,260804,,460,495
1/4/2018,249536,,508,450
1/5/2018,266292,,515,405
1/6/2018,,,0,0
1/7/2018,,,0,0
1/8/2018,294034,,548,552
1/9/2018,246519,,444,480
1/10/2018,225504,,443,480
1/11/2018,173880,,343,456
1/12/2018,221103,,471,432
1/13/2018,,,0,0
1/14/2018,,,0,0
1/15/2018,149565,,295,252
1/16/2018,294840,,599,504
1/17/2018,293480,,519,483
1/18/2018,216890,,429,420
1/19/2018,238140,,434,378
1/20/2018,,,0,0
1/21/2018,,,0,0
1/22/2018,271410,,531,516
1/23/2018,235743,,468,454
1/24/2018,237945,,445,430
1/25/2018,169750,,363,409
1/26/2018,200340,,412,323
1/27/2018,,,0,0
1/28/2018,,,0,0
1/29/2018,290283,,493,534
1/30/2018,241472,,462,445
1/31/2018,204240,,374,423
2/1/2018,188616,,350,400
2/2/2018,203682,,443,378
2/3/2018,,,0,0
2/4/2018,,,0,0
2/5/2018,304589,,755,493
2/6/2018,344820,,844,469
2/7/2018,256365,,657,446
2/8/2018,229439,,529,399
2/9/2018,244625,,505,423
2/10/2018,,,0,0
2/11/2018,,,0,0
2/12/2018,285784,,587,481
2/13/2018,211200,,462,459
2/14/2018,186321,,365,436
2/15/2018,168070,,349,390
2/16/2018,174240,,378,413
2/17/2018,,,0,0
2/18/2018,,,0,0
2/19/2018,103739,,228,383
2/20/2018,223725,,492,518
2/21/2018,211090,,430,473
2/22/2018,188972,,417,428
2/23/2018,216936,,427,450
2/24/2018,,,0,0
2/25/2018,,,0,0
2/26/2018,251750,,542,513
2/27/2018,199984,,435,470
2/28/2018,179500,,359,406
3/1/2018,167926,,378,363
3/2/2018,179075,,381,384
3/3/2018,,,0,0
3/4/2018,,,0,0
3/5/2018,268536,,548,501
3/6/2018,202484,,466,461
3/7/2018,198584,,420,428
3/8/2018,215134,,425,419
3/9/2018,215016,,420,391
3/10/2018,,,0,0
3/11/2018,,,0,0
3/12/2018,271942,,558,480
3/13/2018,241827,,466,459
3/14/2018,200577,,434,396
3/15/2018,177742,,373,355
3/16/2018,213072,,405,396
3/17/2018,,,0,0
3/18/2018,,,0,0
3/19/2018,264136,,530,497
3/20/2018,192270,,388,475
3/21/2018,211531,,399,410
3/22/2018,221450,,451,367
3/23/2018,209924,,401,410
3/24/2018,,,0,0
3/25/2018,,,0,0
3/26/2018,276945,,524,581
3/27/2018,277482,,537,556
3/28/2018,235277,,447,480
3/29/2018,214176,,399,429
3/30/2018,137238,,271,455
3/31/2018,,,0,0
4/1/2018,,,0,0
4/2/2018,347400,,613,713
4/3/2018,287784,,515,651
4/4/2018,299775,,532,589
4/5/2018,273780,,485,558
4/6/2018,280368,,516,589
4/7/2018,,,0,0
4/8/2018,,,,
4/9/2018,440160,,839,898
4/10/2018,364302,,698,786
4/11/2018,341880,,647,711
4/12/2018,332029,,638,719
4/13/2018,369984,,743,599
4/14/2018,,,0,0
4/15/2018,,,0,0
4/16/2018,549488,,1080,1189
4/17/2018,357952,,674,701
4/18/2018,175508,,359,457
4/19/2018,152154,,323,427
4/20/2018,131147,,319,366
4/21/2018,,,0,0
4/22/2018,,,0,0
4/23/2018,147288,,372,492
4/24/2018,141435,,315,434
4/25/2018,127602,,278,403
4/26/2018,110400,,231,394
4/27/2018,133056,,288,368
4/28/2018,,,0,0
4/29/2018,,,0,0
4/30/2018,134946,,308,385
5/1/2018,134421,,259,370
5/2/2018,96356,,219,344
5/3/2018,89152,,199,336
5/4/2018,88620,,210,315
5/5/2018,,,0,0
5/6/2018,,,0,0
5/7/2018,129600,,288,423
5/8/2018,111111,,231,365
5/9/2018,114478,,260,362
5/10/2018,91840,,207,354
5/11/2018,85033,,211,404
5/12/2018,,,0,0
5/13/2018,,,0,0
5/14/2018,150062,,360,309
5/15/2018,139826,,310,278
5/16/2018,120888,,294,220
5/17/2018,100050,,230,247
5/18/2018,105652,,249,221
5/19/2018,,,0,0
5/20/2018,,,0,0
5/21/2018,133308,,322,297
5/22/2018,123039,,284,251
5/23/2018,121914,,236,217
5/24/2018,105922,,256,203
5/25/2018,85904,,182,207
5/26/2018,,,0,0
5/27/2018,,,0,0
5/28/2018,,,0,0
5/29/2018,132894,,322,302
5/30/2018,98106,,261,288
5/31/2018,99308,,250,242
6/1/2018,106024,,234,236
6/2/2018,,,0,0
6/3/2018,,,0,0
6/4/2018,151074,,329,335
6/5/2018,105560,,261,274
6/6/2018,118104,,262,242
6/7/2018,128417,,284,227
6/8/2018,117292,,258,227
6/9/2018,,,0,0
6/10/2018,,,0,0
6/11/2018,157552,,366,302
6/12/2018,129115,,248,282
6/13/2018,104006,,247,244
6/14/2018,99675,,227,221
6/15/2018,97128,,236,208
6/16/2018,,,0,0
6/17/2018,,,0,0
6/18/2018,119428,,293,326
6/19/2018,124320,,259,281
6/20/2018,106480,,248,259
6/21/2018,120576,,268,258
6/22/2018,94886,,210,255
6/23/2018,,,0,0
6/24/2018,,,0,0
6/25/2018,114576,,265,322
6/26/2018,93051,,214,278
6/27/2018,102711,,222,257
6/28/2018,103249,,224,255
6/29/2018,91287,,208,253
6/30/2018,,,0,0
7/1/2018,,,0,0
7/2/2018,158946,,354,331
7/3/2018,122237,,251,221
7/4/2018,,,0,0
7/5/2018,153909,,356,314
7/6/2018,151500,,327,316
7/7/2018,,,0,0
7/8/2018,,,0,0
7/9/2018,151606,,345,357
7/10/2018,118900,,291,281
7/11/2018,122478,,288,249
7/12/2018,135952,,298,245
7/13/2018,173160,,367,242
7/14/2018,,,0,0
7/15/2018,,,0,0
7/16/2018,236572,,505,344
7/17/2018,197691,,427,275
7/18/2018,173228,,348,244
7/19/2018,148200,,307,240
7/20/2018,144375,,328,237
7/21/2018,,,0,0
7/22/2018,,,0,0
7/23/2018,204218,,434,343
7/24/2018,197178,,361,270
7/25/2018,185668,,362,239
7/26/2018,171162,,337,235
7/27/2018,155779,,308,232
7/28/2018,,,0,0
7/29/2018,,,0,0
7/30/2018,184730,,385,421
7/31/2018,169320,,357,345
8/1/2018,155952,,304,304
8/2/2018,109680,,249,286
8/3/2018,125188,,244,291
8/4/2018,,,0,0
8/5/2018,,,0,0
8/6/2018,187982,,413,467
8/7/2018,150123,,334,288
