date,Sum of TOTAL TIME - AHT (sec),Sum of TOTAL TIME - AHT - FORECAST (sec),Sum of VOLUME - RECEIVED,Sum of VOLUME - FORECAST
4/25/2016,4651864,,7862,7741
4/26/2016,3666588,,6294,6350
4/27/2016,3276393,,5645,5786
4/28/2016,3172328,,5530,5643
4/29/2016,3270230,,5553,5702
4/30/2016,0,,0,0
5/1/2016,0,,0,0
5/2/2016,4638560,,8653,7875
5/3/2016,3939854,,6525,6438
5/4/2016,3406625,,5707,5835
5/5/2016,3121159,,5385,5442
5/6/2016,2997013,,5199,5423
5/7/2016,0,,0,0
5/8/2016,0,,0,0
5/9/2016,4306346,,7429,7784
5/10/2016,3648920,,6282,6433
5/11/2016,3504340,,5896,5842
5/12/2016,3116043,,5354,5615
5/13/2016,3105675,,5375,5658
5/14/2016,0,,0,0
5/15/2016,0,,0,0
5/16/2016,4619974,,8308,7616
5/17/2016,3882085,,6692,6329
5/18/2016,3486787,,6158,5708
5/19/2016,3152890,,5518,5560
5/20/2016,3060993,,5462,5321
5/21/2016,0,,0,0
5/22/2016,0,,0,0
5/23/2016,4417413,,7677,8013
5/24/2016,3572540,,6330,6544
5/25/2016,3242935,,5893,5711
5/26/2016,3084390,,5250,5389
5/27/2016,3051272,,5539,5405
5/28/2016,0,,0,0
5/29/2016,0,,0,0
5/30/2016,0,,0,0
5/31/2016,4759492,,8213,8768
6/1/2016,3950255,,6674,7244
6/2/2016,3449452,,6014,6707
6/3/2016,3296682,,5539,5981
6/4/2016,0,,0,0
6/5/2016,0,,0,0
6/6/2016,4469958,,7752,7917
6/7/2016,3707265,,6383,6406
6/8/2016,3365167,,5767,5742
6/9/2016,3130095,,5317,5541
6/10/2016,3105597,,5352,5465
6/11/2016,0,,0,0
6/12/2016,0,,0,0
6/13/2016,4217723,,7133,7797
6/14/2016,3476183,,6008,6427
6/15/2016,3183969,,5581,5977
6/16/2016,3005904,,5247,5625
6/17/2016,2944941,,5048,5511
6/18/2016,0,,0,0
6/19/2016,0,,0,0
6/20/2016,4173339,,7321,7688
6/21/2016,3639440,,6472,6441
6/22/2016,3262571,,5883,5751
6/23/2016,3235024,,5596,5586
6/24/2016,3902911,,6746,5431
6/25/2016,0,,0,0
6/26/2016,0,,0,0
6/27/2016,4657333,,8166,8241
6/28/2016,3504892,,6230,6503
6/29/2016,3243720,,5799,5621
6/30/2016,3121861,,5517,5386
7/1/2016,3002634,,5416,5313
7/2/2016,0,,0,0
7/3/2016,0,,0,0
7/4/2016,0,,0,0
7/5/2016,4586858,,7963,8525
7/6/2016,3779385,,6461,6880
7/7/2016,3504776,,6033,6401
7/8/2016,3421983,,6131,5694
7/9/2016,0,,0,0
7/10/2016,0,,0,0
7/11/2016,4669438,,8436,8542
7/12/2016,4035014,,7171,7411
7/13/2016,3766483,,6588,6990
7/14/2016,3770062,,6921,6844
7/15/2016,3541387,,6490,6794
7/16/2016,0,,0,0
7/17/2016,0,,0,0
7/18/2016,4932308,,8904,8962
7/19/2016,3935768,,7122,7262
7/20/2016,3678927,,6707,6821
7/21/2016,3277565,,5965,6452
7/22/2016,3199594,,5888,6348
7/23/2016,0,,0,0
7/24/2016,0,,0,0
7/25/2016,4593717,,8475,8402
7/26/2016,3645112,,6667,6779
7/27/2016,3246518,,5959,6162
7/28/2016,3127766,,5798,6191
7/29/2016,2965547,,5619,6222
7/30/2016,0,,0,0
7/31/2016,0,,0,0
8/1/2016,4282347,,7931,8410
8/2/2016,3362828,,6262,6773
8/3/2016,3182629,,5937,6018
8/4/2016,3004737,,5588,5763
8/5/2016,2912527,,5464,5697
8/6/2016,0,,0,0
8/7/2016,0,,0,0
8/8/2016,4128206,,7743,7703
8/9/2016,3150430,,5970,6116
8/10/2016,3025071,,5889,5648
8/11/2016,2785788,,5479,5406
8/12/2016,2919679,,5621,5324
8/13/2016,452,,9,0
8/14/2016,0,,0,0
8/15/2016,3918944,,7390,7488
8/16/2016,3232817,,6003,6050
8/17/2016,2996388,,5572,5681
8/18/2016,2761531,,5077,5588
8/19/2016,2861903,,5215,5582
8/20/2016,0,,0,0
8/21/2016,0,,0,0
8/22/2016,4103526,,7574,7653
8/23/2016,3261541,,6138,6116
8/24/2016,3115209,,5826,5729
8/25/2016,3104919,,5821,5418
8/26/2016,3062896,,5713,5335
8/27/2016,0,,0,0
8/28/2016,0,,0,0
8/29/2016,4114892,,7502,7418
8/30/2016,3416897,,6252,6081
8/31/2016,2996234,,5508,5538
9/1/2016,3001810,,5435,5307
9/2/2016,2828782,,5130,5221
9/3/2016,0,,0,0
9/4/2016,0,,0,0
9/5/2016,0,,0,0
9/6/2016,4464886,,8096,8506
9/7/2016,3506435,,6282,6602
9/8/2016,3065871,,5643,5819
9/9/2016,2888091,,5302,5547
9/10/2016,0,,0,0
9/11/2016,0,,0,0
9/12/2016,3957968,,7221,7290
9/13/2016,3135786,,5716,6044
9/14/2016,2993479,,5467,5484
9/15/2016,2848191,,5095,5275
9/16/2016,2873429,,5378,5260
9/17/2016,0,,0,0
9/18/2016,0,,0,0
9/19/2016,4079014,,7434,7126
9/20/2016,3147395,,5979,5724
9/21/2016,3040439,,5455,5506
9/22/2016,2769939,,5099,5315
9/23/2016,2858374,,5305,5157
9/24/2016,0,,0,0
9/25/2016,0,,0,0
9/26/2016,3756529,,6821,7287
9/27/2016,2967501,,5482,5824
9/28/2016,2768645,,5124,5544
9/29/2016,2620268,,4892,5144
9/30/2016,2709686,,4948,5206
10/1/2016,0,,0,0
10/2/2016,0,,0,0
10/3/2016,3857035,,7275,7527
10/4/2016,3034879,,5739,6075
10/5/2016,2770369,,5240,5626
10/6/2016,2593111,,4944,5394
10/7/2016,2545969,,4814,5459
10/8/2016,0,,0,0
10/9/2016,0,,0,0
10/10/2016,3256333,,5963,6406
10/11/2016,3352026,,6210,6993
10/12/2016,3231281,,5983,6839
10/13/2016,3018080,,5639,6373
10/14/2016,3267914,,6146,6170
10/15/2016,0,,0,0
10/16/2016,0,,0,0
10/17/2016,4735661,,8862,8058
10/18/2016,3876233,,7258,6433
10/19/2016,3509462,,6737,5595
10/20/2016,3012628,,5569,5168
10/21/2016,2931406,,5533,5216
10/22/2016,0,,0,0
10/23/2016,0,,0,0
10/24/2016,4186603,,7497,7845
10/25/2016,3431970,,6143,6226
10/26/2016,3257604,,5951,5842
10/27/2016,2945757,,5369,5394
10/28/2016,3021915,,5528,5280
10/29/2016,0,,0,0
10/30/2016,0,,0,0
10/31/2016,3991584,,7109,7942
11/1/2016,3529195,,6481,6428
11/2/2016,3305386,,6099,5752
11/3/2016,3293027,,5697,5501
11/4/2016,3329816,,5916,5546
11/5/2016,0,,0,0
11/6/2016,0,,0,0
11/7/2016,4968428,,9024,8301
11/8/2016,3413499,,6039,6212
11/9/2016,3814464,,6792,6646
11/10/2016,3350391,,6095,6285
11/11/2016,2564939,,4819,6308
11/12/2016,0,,0,0
11/13/2016,0,,0,0
11/14/2016,4806843,,8895,7609
11/15/2016,3840225,,7205,6467
11/16/2016,3452050,,6426,6079
11/17/2016,3232197,,6038,5941
11/18/2016,3275326,,6104,5813
11/19/2016,0,,0,0
11/20/2016,0,,0,0
11/21/2016,4257313,,7876,8052
11/22/2016,3454032,,6418,6415
11/23/2016,2681238,,5070,4724
11/24/2016,0,,0,0
11/25/2016,1503466,,3159,2878
11/26/2016,0,,0,0
11/27/2016,0,,0,0
11/28/2016,4605203,,8478,8288
11/29/2016,3563400,,6541,6815
11/30/2016,3400713,,6319,6327
12/1/2016,3196102,,5969,6041
12/2/2016,3201593,,5893,5914
12/3/2016,0,,0,0
12/4/2016,0,,0,0
12/5/2016,4422203,,8245,7828
12/6/2016,3600877,,6640,6351
12/7/2016,3354913,,6193,5999
12/8/2016,3221768,,5937,5664
12/9/2016,3370214,,6121,5571
12/10/2016,0,,0,0
12/11/2016,0,,0,0
12/12/2016,4459576,,7903,7925
12/13/2016,3632389,,6456,6586
12/14/2016,3288240,,5962,5727
12/15/2016,3073692,,5411,5425
12/16/2016,2962433,,5324,5273
12/17/2016,0,,0,0
12/18/2016,0,,1,0
12/19/2016,3856798,,6855,7490
12/20/2016,3161248,,5649,6379
12/21/2016,2824308,,5125,5513
12/22/2016,2594581,,4620,5086
12/23/2016,1955335,,3578,4221
12/24/2016,0,,0,0
12/25/2016,0,,0,0
12/26/2016,0,,0,0
12/27/2016,3736672,,6675,7827
12/28/2016,3223491,,5897,6335
12/29/2016,3001171,,5418,5758
12/30/2016,2583872,,4654,5339
12/31/2016,0,,0,0
1/1/2017,,,0,0
1/2/2017,1892920,,3352,4434
1/3/2017,5782736,,9664,10830
1/4/2017,4517207,,7799,8643
1/5/2017,3980282,,7068,7871
1/6/2017,3887509,,6623,7102
1/7/2017,0,,0,0
1/8/2017,0,,0,0
1/9/2017,4744609,,8592,9115
1/10/2017,3986478,,7148,7656
1/11/2017,3614302,,6454,7258
1/12/2017,3462691,,6239,7126
1/13/2017,3740220,,6598,7353
1/14/2017,0,,0,0
1/15/2017,0,,0,0
1/16/2017,2211848,,4211,4746
1/17/2017,4795375,,8761,8832
1/18/2017,4268534,,7802,8338
1/19/2017,4097095,,7557,7216
1/20/2017,3901677,,7480,6623
1/21/2017,0,,0,0
1/22/2017,0,,0,0
1/23/2017,5673358,,10769,8556
1/24/2017,4673757,,8627,7987
1/25/2017,4597146,,8459,7525
1/26/2017,4280716,,7730,7201
1/27/2017,3982057,,7242,7129
1/28/2017,0,,0,0
1/29/2017,0,,0,0
1/30/2017,5459840,,10021,9139
1/31/2017,4378519,,8079,7628
2/1/2017,3929102,,7274,7261
2/2/2017,3579296,,6757,6621
2/3/2017,3666263,,6785,6390
2/4/2017,0,,0,0
2/5/2017,0,,0,0
2/6/2017,4540916,,8169,8885
2/7/2017,3652893,,6539,7470
2/8/2017,3378354,,6130,6663
2/9/2017,3493903,,6055,6471
2/10/2017,3436546,,5981,5914
2/11/2017,0,,0,0
2/12/2017,0,,0,0
2/13/2017,4558892,,7675,8179
2/14/2017,3416120,,5871,6753
2/15/2017,3554965,,6377,6259
2/16/2017,3484600,,6187,5876
2/17/2017,3552481,,6402,5836
2/18/2017,0,,0,0
2/19/2017,0,,0,0
2/20/2017,2403330,,4438,3619
2/21/2017,4736984,,8338,6988
2/22/2017,4170419,,7453,6030
2/23/2017,4108612,,7425,5783
2/24/2017,3928700,,6867,5766
2/25/2017,0,,0,0
2/26/2017,0,,0,0
2/27/2017,5357277,,9113,8158
2/28/2017,4210479,,7167,7127
3/1/2017,4250913,,7407,6432
3/2/2017,4087262,,7096,5991
3/3/2017,3997407,,6935,6007
3/4/2017,0,,0,0
3/5/2017,0,,0,0
3/6/2017,5053763,,8792,8774
3/7/2017,4043916,,6930,7736
3/8/2017,3695951,,6561,6876
3/9/2017,3590032,,6171,6491
3/10/2017,3638752,,6243,6366
3/11/2017,0,,0,0
3/12/2017,0,,0,0
3/13/2017,4590008,,7830,8774
3/14/2017,3706480,,6389,7172
3/15/2017,3526684,,6304,6914
3/16/2017,3588826,,6158,6685
3/17/2017,3492448,,6241,6747
3/18/2017,0,,0,0
3/19/2017,,,0,
3/20/2017,4729305,,8731,8711
3/21/2017,3986995,,7143,7352
3/22/2017,3901794,,6974,6800
3/23/2017,3621315,,6304,6454
3/24/2017,3333051,,6024,6302
3/25/2017,0,,0,0
3/26/2017,,,0,0
3/27/2017,5069115,,8959,7952
3/28/2017,3885235,,6842,8470
3/29/2017,3573833,,6469,6660
3/30/2017,3454764,,6221,6200
3/31/2017,3516226,,6381,6183
4/1/2017,0,,0,0
4/2/2017,0,,0,0
4/3/2017,5103028,,8981,8317
4/4/2017,4304183,,7634,6856
4/5/2017,3572102,,6490,6413
4/6/2017,3416580,,6230,6226
4/7/2017,3282251,,5991,6026
4/8/2017,0,,0,0
4/9/2017,0,,0,0
4/10/2017,4964973,,8880,9112
4/11/2017,4133102,,7543,7357
4/12/2017,3865744,,7077,6808
4/13/2017,3562959,,6593,6685
4/14/2017,2354362,,4518,4448
4/15/2017,0,,0,0
4/16/2017,0,,0,0
4/17/2017,4896297,,9270,9224
4/18/2017,4286089,,8132,7720
4/19/2017,3821600,,7285,6702
4/20/2017,3520576,,6625,6495
4/21/2017,3408106,,6553,6198
4/22/2017,0,,0,0
4/23/2017,0,,0,0
4/24/2017,4687174,,8828,8751
4/25/2017,3995222,,8279,7026
4/26/2017,5145591,,15273,6486
4/27/2017,5267180,,14137,6205
4/28/2017,4748971,,12303,5911
4/29/2017,228145,,559,0
4/30/2017,,,0,0
5/1/2017,5703740,,14529,8634
5/2/2017,5028032,,11716,6890
5/3/2017,4332695,,10160,6276
5/4/2017,4366260,,9806,5921
5/5/2017,3497473,,7018,5806
5/6/2017,0,,0,0
5/7/2017,,,0,
5/8/2017,4615620,,9092,8417
5/9/2017,3650286,,7468,7079
5/10/2017,3300577,,6835,6237
5/11/2017,2950704,,6180,5929
5/12/2017,2890727,,5829,5836
5/13/2017,0,,0,0
5/14/2017,0,,0,0
5/15/2017,3975534,,8068,8161
5/16/2017,3341824,,6941,7044
5/17/2017,3227064,,6324,6454
5/18/2017,3078513,,6064,5839
5/19/2017,2943053,,5909,5649
5/20/2017,,,0,0
5/21/2017,,,0,0
5/22/2017,4261478,,8731,8039
5/23/2017,3512100,,7106,7138
5/24/2017,3195392,,6480,6346
5/25/2017,2953113,,6069,5899
5/26/2017,2963987,,6241,5803
5/27/2017,,,0,0
5/28/2017,,,0,0
5/29/2017,,,0,0
5/30/2017,4734330,,9806,8889
5/31/2017,4042990,,7879,7256
6/1/2017,3316950,,6958,6528
6/2/2017,3360150,,6961,6016
6/3/2017,,,0,0
6/4/2017,,,0,0
6/5/2017,4666428,,9387,8879
6/6/2017,3755008,,7581,7278
6/7/2017,3396008,,6726,6444
6/8/2017,3225024,,6269,6152
6/9/2017,3040556,,6018,6050
6/10/2017,,,0,0
6/11/2017,,,0,0
6/12/2017,4212384,,8183,8528
6/13/2017,3314326,,6652,6960
6/14/2017,3138264,,6184,6317
6/15/2017,2937077,,5789,6075
6/16/2017,2890242,,5818,5932
6/17/2017,,,0,0
6/18/2017,,,0,0
6/19/2017,4109560,,8046,8301
6/20/2017,3433495,,6921,7097
6/21/2017,3088970,,6113,6381
6/22/2017,3005806,,5643,6159
6/23/2017,3136980,,5902,6024
6/24/2017,,,0,0
6/25/2017,,,0,0
6/26/2017,4578256,,8355,8458
6/27/2017,3823940,,6981,6812
6/28/2017,3455985,,6283,6161
6/29/2017,3136986,,5753,5904
6/30/2017,2978640,,5638,5858
7/1/2017,0,,0,0
7/2/2017,0,,0,0
7/3/2017,3600486,,6798,5267
7/4/2017,0,,0,0
7/5/2017,4387873,,8086,9120
7/6/2017,3952354,,7276,7367
7/7/2017,3842963,,6958,6991
7/8/2017,0,,0,0
7/9/2017,0,,0,0
7/10/2017,4945777,,8996,9657
7/11/2017,3945564,,7207,8117
7/12/2017,3512489,,6430,7531
7/13/2017,3323510,,6176,7554
7/14/2017,3566079,,6564,7502
7/15/2017,0,,0,0
7/16/2017,0,,0,0
7/17/2017,4644573,,8842,9336
7/18/2017,3979760,,7509,7754
7/19/2017,3728379,,7069,7212
7/20/2017,3832814,,7397,6643
7/21/2017,3791180,,7231,6368
7/22/2017,0,,0,0
7/23/2017,0,,0,0
7/24/2017,4980284,,9465,8734
7/25/2017,4143240,,7855,6967
7/26/2017,3636715,,7547,6196
7/27/2017,3430028,,6363,5960
7/28/2017,3292680,,6033,5812
7/29/2017,0,,0,0
7/30/2017,0,,0,0
7/31/2017,4452692,,8571,8413
8/1/2017,3880961,,7137,6838
8/2/2017,3638173,,6749,6265
8/3/2017,3332155,,6209,5971
8/4/2017,3464622,,6227,5875
8/5/2017,0,,0,0
8/6/2017,0,,0,0
8/7/2017,4616680,,8655,8288
8/8/2017,3620470,,6838,6486
8/9/2017,3433621,,6386,6246
8/10/2017,3482836,,6632,5949
8/11/2017,3503469,,6504,5875
8/12/2017,0,,0,0
8/13/2017,0,,0,0
8/14/2017,4522858,,8562,8213
8/15/2017,3788730,,7222,6644
8/16/2017,3395059,,6343,6305
8/17/2017,3176788,,6063,5696
8/18/2017,3178233,,6109,5744
8/19/2017,0,,0,0
8/20/2017,0,,0,0
8/21/2017,4153370,,7737,8596
8/22/2017,3524338,,6876,6980
8/23/2017,3307526,,6296,6654
8/24/2017,3206016,,6197,6511
8/25/2017,3063536,,5806,6462
8/26/2017,0,,0,0
8/27/2017,0,,0,0
8/28/2017,4054311,,7659,8602
8/29/2017,3484382,,6506,6884
8/30/2017,3258423,,6297,6469
8/31/2017,3258070,,5741,6400
9/1/2017,3270358,,5826,6337
9/2/2017,0,,0,0
9/3/2017,0,,0,0
9/4/2017,0,,0,0
9/5/2017,4914146,,8888,8979
9/6/2017,3834244,,6885,7071
9/7/2017,3455925,,6122,6290
9/8/2017,3420834,,5898,6190
9/9/2017,0,,0,0
9/10/2017,0,,0,0
9/11/2017,4089146,,7618,8306
9/12/2017,3603699,,6540,6593
9/13/2017,3292760,,5923,6209
9/14/2017,3285904,,5920,5855
9/15/2017,3319660,,5999,5798
9/16/2017,0,,0,0
9/17/2017,0,,0,0
9/18/2017,4437668,,8101,8145
9/19/2017,3619014,,6975,6585
9/20/2017,3404112,,6464,6315
9/21/2017,3233732,,5922,5920
9/22/2017,3513329,,6460,5804
9/23/2017,0,,0,0
9/24/2017,0,,0,0
9/25/2017,4487330,,8189,7835
9/26/2017,3656191,,6554,6612
9/27/2017,3485564,,6446,6169
9/28/2017,3128874,,5700,5731
9/29/2017,3428445,,6028,5843
9/30/2017,0,,0,0
10/1/2017,0,,0,0
10/2/2017,4650645,,8248,8147
10/3/2017,3880508,,7486,6591
10/4/2017,3664200,,6428,6201
10/5/2017,3663052,,5867,5903
10/6/2017,3694536,,6055,5828
10/7/2017,0,,0,0
10/8/2017,0,,0,0
10/9/2017,4224789,,6801,7056
10/10/2017,4222293,,6901,7568
10/11/2017,3984698,,6609,7149
10/12/2017,3804280,,6230,6672
10/13/2017,4105087,,6573,6630
10/14/2017,0,,0,0
10/15/2017,0,,0,0
10/16/2017,5433922,,9180,9392
10/17/2017,4473718,,7503,7888
10/18/2017,4318076,,7185,7295
10/19/2017,4028680,,6759,6961
10/20/2017,3733265,,6225,6890
10/21/2017,0,,0,0
10/22/2017,0,,0,0
10/23/2017,5109588,,8717,8684
10/24/2017,4308758,,7058,7296
10/25/2017,3713928,,6485,6635
10/26/2017,3566244,,5886,5921
10/27/2017,3535576,,6005,6093
10/28/2017,0,,0,0
10/29/2017,0,,0,0
10/30/2017,5200347,,8547,8549
10/31/2017,3926237,,6282,7622
11/1/2017,3839283,,6352,6631
11/2/2017,3715080,,6457,6116
11/3/2017,4034104,,6803,6384
11/4/2017,0,,0,0
11/5/2017,0,,0,0
11/6/2017,5370033,,8964,9232
11/7/2017,4401030,,7227,7536
11/8/2017,4107497,,6711,6851
11/9/2017,4030426,,6813,6236
11/10/2017,3941776,,6609,6177
11/11/2017,0,,0,0
11/12/2017,0,,0,0
11/13/2017,5339303,,9054,9493
11/14/2017,4635692,,7787,7814
11/15/2017,4304646,,7177,7191
11/16/2017,4004248,,6765,6573
11/17/2017,4091766,,6664,6709
11/18/2017,0,,0,0
11/19/2017,0,,0,0
11/20/2017,5035492,,8247,8879
11/21/2017,3953983,,6602,7329
11/22/2017,2936262,,4786,5506
11/23/2017,0,,0,0
11/24/2017,1860900,,3071,3518
11/25/2017,0,,0,0
11/26/2017,0,,0,0
11/27/2017,5386262,,8919,8985
11/28/2017,4256158,,7031,7383
11/29/2017,3886702,,6639,6728
11/30/2017,3955961,,6734,6206
12/1/2017,4112358,,6882,6367
12/2/2017,0,,0,0
12/3/2017,0,,0,0
12/4/2017,5500369,,9222,8953
12/5/2017,4423704,,7465,7194
12/6/2017,4046507,,6769,6614
12/7/2017,3865951,,6303,6279
12/8/2017,3865011,,6297,6460
12/9/2017,0,,0,0
12/10/2017,0,,0,0
12/11/2017,5060288,,8291,8777
12/12/2017,4113716,,6777,7038
12/13/2017,3722950,,6259,6366
12/14/2017,3456662,,5819,6021
12/15/2017,3713690,,6263,5938
12/16/2017,0,,0,0
12/17/2017,0,,0,0
12/18/2017,4794577,,8100,7380
12/19/2017,3977261,,6764,6158
12/20/2017,3485027,,5964,5375
12/21/2017,3426745,,5888,4843
12/22/2017,3291769,,5743,3835
12/23/2017,0,,0,0
12/24/2017,0,,0,0
12/25/2017,0,,0,0
12/26/2017,3354717,,5577,7933
12/27/2017,3719344,,6219,6692
12/28/2017,3686218,,5967,6153
12/29/2017,3538333,,5885,5520
12/30/2017,0,,0,0
12/31/2017,0,,0,0
1/1/2018,443782,,758,1764
1/2/2018,6378585,,10633,10056
1/3/2018,5413976,,8914,7996
1/4/2018,4809167,,7974,7359
1/5/2018,4595464,,7549,6780
1/6/2018,0,,0,0
1/7/2018,0,,0,0
1/8/2018,5699120,,9546,8740
1/9/2018,4614258,,7793,7152
1/10/2018,4184144,,7199,6629
1/11/2018,3841050,,6596,6384
1/12/2018,4290540,,7447,6632
1/13/2018,0,,0,0
1/14/2018,0,,0,0
1/15/2018,2374762,,4484,4283
1/16/2018,5110118,,9276,9453
1/17/2018,5308001,,9090,8213
1/18/2018,5132767,,9010,7719
1/19/2018,5096880,,8776,7594
1/20/2018,,,0,0
1/21/2018,,,0,0
1/22/2018,6247528,,11581,10103
1/23/2018,5225415,,9235,8662
1/24/2018,4820192,,8660,8434
1/25/2018,4359483,,7848,7659
1/26/2018,4592185,,8099,7361
1/27/2018,,,0,0
1/28/2018,,,0,0
1/29/2018,5600886,,10315,10448
1/30/2018,4741067,,8646,8771
1/31/2018,4282050,,7814,8222
2/1/2018,4160919,,7312,7368
2/2/2018,3978483,,7176,7349
2/3/2018,,,0,0
2/4/2018,,,0,0
2/5/2018,5515389,,10212,8662
2/6/2018,4704590,,8460,7011
2/7/2018,3925830,,6934,6496
2/8/2018,3693754,,6559,6359
2/9/2018,3872043,,6725,6288
2/10/2018,,,0,0
2/11/2018,,,0,0
2/12/2018,4590140,,8059,8667
2/13/2018,3653454,,6522,7466
2/14/2018,3218418,,5675,6254
2/15/2018,3430627,,5848,6695
2/16/2018,3405453,,5830,6806
2/17/2018,,,0,0
2/18/2018,,,0,0
2/19/2018,2203012,,4142,4714
2/20/2018,4145024,,7221,8809
2/21/2018,3811210,,6587,7718
2/22/2018,3622093,,6221,7638
2/23/2018,3490976,,6207,7217
2/24/2018,,,0,0
2/25/2018,,,0,0
2/26/2018,4791680,,8655,8251
2/27/2018,3867158,,6919,6821
2/28/2018,3645782,,6680,6772
3/1/2018,3485443,,6369,6991
3/2/2018,3537312,,6007,6708
3/3/2018,,,0,0
3/4/2018,,,0,0
3/5/2018,4957072,,8550,8291
3/6/2018,4126868,,7037,6540
3/7/2018,3749664,,6431,6270
3/8/2018,3583700,,6025,6051
3/9/2018,3718872,,6541,5927
3/10/2018,,,0,0
3/11/2018,,,0,0
3/12/2018,4592709,,7971,8201
3/13/2018,3655568,,6311,6813
3/14/2018,3571611,,6004,6507
3/15/2018,3459509,,5788,6051
3/16/2018,3443038,,5550,6053
3/17/2018,,,0,0
3/18/2018,,,0,0
3/19/2018,4738392,,8172,8421
3/20/2018,3761202,,6598,7032
3/21/2018,3802668,,6419,6673
3/22/2018,3466652,,6017,6234
3/23/2018,3607316,,6134,6150
3/24/2018,,,0,0
3/25/2018,,,0,0
3/26/2018,4363856,,7702,8255
3/27/2018,3609956,,6442,6475
3/28/2018,3405386,,5866,6168
3/29/2018,3338173,,5736,5808
3/30/2018,2067679,,3737,4074
3/31/2018,,,0,0
4/1/2018,,,0,0
4/2/2018,4871088,,8454,8030
4/3/2018,3939746,,6869,6754
4/4/2018,3571438,,6439,6285
4/5/2018,3397084,,5975,6040
