BUSINESS UNIT,BUSINESS LINE,ACTIVITY DATE,Sum of AHT,Sum of TOTAL TIME - AHT (sec),Sum of VOLUME - RECEIVED,Sum of CONFORMANCE,Sum of ADHERENCE,Sum of ABANDONMENT RATE,Sum of SERVICE LEVEL,Unplanned Out
RAM,RAM,3/13/2019,984,1613413,1595,89.83%,86.25%,29.53%,0,67
RAM,RAM,3/14/2019,1060,1848381,1744,93.46%,91.65%,27.01%,0,44.75
RAM,RAM,3/15/2019,892,2147096,2419,96.30%,93.22%,20.01%,0,51
RAM,RAM,3/18/2019,805,2643717,3374,98.79%,95.19%,22.02%,0,62.58333333
RAM,RAM,3/19/2019,959,1879037,1911,96.01%,94.01%,36.53%,0,51
RAM,RAM,3/20/2019,884,1854305,2143,95.50%,93.06%,34.72%,0,13.91666667
RAM,RAM,3/21/2019,874,1861237,1925,97.55%,94.02%,28.05%,0,25.25
RAM,RAM,3/22/2019,874,1868596,2135,94.72%,91.30%,25.15%,0,57.75
RAM,RAM,3/25/2019,836,2740152,3733,96.69%,94.03%,20.14%,0,20
RAM,RAM,3/26/2019,878,1647038,1774,95.02%,92.85%,36.75%,0,61.5
RAM,RAM,3/27/2019,933,1797864,1854,94.94%,91.67%,31.18%,0,24
RAM,RAM,3/28/2019,916,1957705,2054,96.40%,94.33%,24.05%,0,24
RAM,RAM,3/29/2019,946,1963330,2012,95.94%,92.09%,21.37%,0,56
RAM,RAM,4/1/2019,887,2742414,3068,95.31%,93.15%,25.33%,0,36
RAM,RAM,4/2/2019,891,2156499,2314,95.26%,92.08%,29.00%,0,24.5
RAM,RAM,4/3/2019,935,1945041,2017,94.59%,91.76%,30.09%,0,45.33333333
RAM,RAM,4/4/2019,919,2111038,2200,96.67%,92.63%,23.14%,0,22.75
RAM,RAM,4/5/2019,880,2155442,2447,94.47%,91.01%,20.76%,0,37.75
RAM,RAM,4/8/2019,832,2561538,3380,96.34%,93.74%,26.27%,0,45
RAM,RAM,4/9/2019,965,2104442,2060,97.04%,94.04%,37.28%,0,34.75
RAM,RAM,4/10/2019,946,2108607,2042,93.89%,90.89%,28.40%,0,5
RAM,RAM,4/11/2019,953,2343446,2394,96.34%,92.78%,21.60%,0,27
RAM,RAM,4/12/2019,913,2121475,2754,96.01%,93.02%,12.67%,0,63
RAM,RAM,4/15/2019,852,2904787,3646,97.21%,93.97%,19.91%,0,31.5
RAM,RAM,4/16/2019,926,2090098,2081,95.59%,91.83%,26.38%,0,36
RAM,RAM,4/17/2019,931,1612676,1599,94.42%,91.31%,26.02%,0,29
RAM,RAM,4/18/2019,917,1983196,2138,96.48%,93.10%,18.29%,0,33.5
RAM,RAM,4/19/2019,829,584671,957,97.22%,90.86%,67.08%,0,0
RAM,RAM,4/22/2019,820,2330527,2958,96.06%,93.83%,31.61%,0,48.5
RAM,RAM,4/23/2019,935,1831968,1584,96.37%,93.04%,35.42%,0,36.5
RAM,RAM,4/24/2019,963,1397447,1399,93.59%,89.45%,36.38%,0,29
RAM,RAM,4/25/2019,920,1560416,1671,94.82%,92.34%,28.96%,0,50
RAM,RAM,4/26/2019,848,1456483,1721,96.90%,93.46%,28.30%,0,54.5
RAM,RAM,4/29/2019,858,2092936,3374,95.40%,91.37%,30.56%,0,80.75
RAM,RAM,4/30/2019,1006,2094447,2315,98.32%,94.27%,8.51%,0,43.91666667
RAM,RAM,5/1/2019,1028,1956526,1778,97.01%,91.79%,32.90%,0,27.5
RAM,RAM,5/2/2019,871,1782572,1901,96.72%,91.39%,23.04%,0,60.08333333
RAM,RAM,5/3/2019,876,1685268,1818,92.35%,89.15%,18.48%,0,25.83333333
RAM,RAM,5/6/2019,855,2200244,2992,95.91%,93.78%,30.25%,0,58.25
RAM,RAM,5/7/2019,985,2205904,1899,92.92%,89.57%,29.75%,0,40
RAM,RAM,5/8/2019,973,1600246,1560,93.75%,89.42%,30.77%,0,39
RAM,RAM,5/9/2019,990,1765358,1766,94.97%,91.75%,26.27%,0,23.25
RAM,RAM,5/10/2019,998,1799025,1736,94.17%,89.74%,22.81%,0,71.91666667
RAM,RAM,5/13/2019,827,2148144,2900,95.05%,92.61%,29.55%,0,84.5
RAM,RAM,5/14/2019,958,1894930,1630,97.46%,94.32%,31.17%,0,52.25
RAM,RAM,5/15/2019,989,1411928,1289,95.53%,91.70%,26.76%,0,26.5
RAM,RAM,5/16/2019,1031,1574536,1553,98.17%,92.26%,23.89%,0,26
RAM,RAM,5/17/2019,992,1713784,1741,96.12%,92.63%,20.85%,0,32.83333333
RAM,RAM,5/20/2019,853,2128182,2806,97.04%,94.27%,28.40%,0,67.5
RAM,RAM,5/21/2019,1068,1945482,1626,95.99%,91.11%,36.96%,0,28.5
RAM,RAM,5/22/2019,1072,1591078,1305,97.08%,91.63%,31.11%,0,45.66666667
RAM,RAM,5/23/2019,953,1747728,1781,96.10%,93.21%,19.65%,0,22.25
RAM,RAM,5/24/2019,1039,1813883,1736,97.28%,93.73%,19.70%,0,56
RAM,RAM,5/27/2019,0,0,89,#DIV/0!,#DIV/0!,0.00%,0,0
RAM,RAM,5/28/2019,899,2488924,3055,95.65%,91.95%,30.38%,0,42.25
RAM,RAM,5/29/2019,943,1756355,1324,98.96%,92.51%,29.46%,0,51.75
RAM,RAM,5/30/2019,845,1311577,1457,99.66%,93.99%,20.25%,0,27
RAM,RAM,5/31/2019,1023,1610835,1568,97.94%,94.44%,18.37%,0,17.75
RAM,RAM,6/3/2019,921,2161707,2691,96.11%,92.58%,30.84%,0,72
RAM,RAM,6/4/2019,1014,1958726,1792,99.10%,94.48%,49.67%,0,56
RAM,RAM,6/5/2019,944,1748965,1631,96.39%,94.18%,28.76%,0,26.5
RAM,RAM,6/6/2019,1113,1839377,1563,92.82%,90.09%,24.25%,0,16
RAM,RAM,6/7/2019,1108,1810520,1695,95.99%,92.80%,20.29%,0,28.75
RAM,RAM,6/10/2019,927,2509058,2830,98.91%,95.39%,22.47%,0,58.75
RAM,RAM,6/11/2019,1138,1789984,1711,96.44%,94.28%,45.24%,0,74.08333333
RAM,RAM,6/12/2019,1001,1893042,1605,96.69%,93.56%,30.40%,0,55.25
RAM,RAM,6/13/2019,1053,1839219,1715,98.68%,94.09%,26.59%,0,50
RAM,RAM,6/14/2019,963,1660799,1670,96.03%,92.70%,23.95%,0,65.5
RAM,RAM,6/17/2019,947,2180829,2434,99.36%,94.93%,30.24%,0,98.5
RAM,RAM,6/18/2019,978,1880488,1638,94.88%,92.38%,27.66%,0,30
RAM,RAM,6/19/2019,1045,1778908,1632,98.16%,94.45%,23.35%,0,8.25
RAM,RAM,6/20/2019,1197,2078703,1736,97.41%,94.63%,22.00%,0,34
RAM,RAM,6/21/2019,1124,1875086,1623,97.01%,93.27%,20.76%,0,75
RAM,RAM,6/24/2019,1084,2611722,2688,95.81%,92.80%,28.16%,0,86
RAM,RAM,6/25/2019,1136,2121939,1534,96.85%,93.53%,27.57%,0,79.75
RAM,RAM,6/26/2019,1173,1697052,1416,95.55%,94.25%,27.68%,0,55.66666667
RAM,RAM,6/27/2019,1200,1938925,1603,96.98%,94.84%,23.64%,0,10
RAM,RAM,6/28/2019,1198,1957632,1659,95.70%,93.58%,24.35%,0,48
RAM,RAM,7/1/2019,1013,2592624,2816,97.50%,95.41%,28.94%,0,39.5
RAM,RAM,7/2/2019,1033,2133354,1697,95.86%,92.74%,26.46%,0,34
RAM,RAM,7/3/2019,1005,1493166,1388,96.50%,92.60%,25.36%,0,31.25
RAM,RAM,7/4/2019,0,N/A,56,#DIV/0!,#DIV/0!,0.00%,0,0
RAM,RAM,7/5/2019,934,1937453,2071,96.98%,94.16%,19.27%,0,66.5
RAM,RAM,7/8/2019,1046,2275485,2463,98.30%,96.09%,37.76%,0,54.75
RAM,RAM,7/9/2019,1000,1815364,1606,95.65%,92.53%,44.83%,0,62.16666667
RAM,RAM,7/10/2019,1012,1735599,1456,97.62%,92.90%,31.46%,0,31
RAM,RAM,7/11/2019,958,1821738,1842,95.00%,92.05%,21.72%,0,18
RAM,RAM,7/12/2019,762,1859384,2457,96.53%,92.87%,16.97%,0,46.91666667
RAM,RAM,7/15/2019,908,2240664,2820,88.64%,87.72%,39.54%,0,18
RAM,RAM,7/16/2019,1004,2005087,1944,93.76%,92.68%,54.63%,0,24
RAM,RAM,7/17/2019,895,1591681,1580,92.84%,88.35%,54.62%,0,45
RAM,RAM,7/18/2019,999,1867898,1834,96.76%,92.41%,45.15%,0,34.25
RAM,RAM,7/19/2019,923,2148625,2051,89.05%,90.75%,26.86%,0,30.25
RAM,RAM,7/22/2019,928,2309329,2835,96.82%,94.18%,40.63%,0,45.75
RAM,RAM,7/23/2019,970,1941595,1816,#DIV/0!,#DIV/0!,53.36%,0,26
RAM,RAM,7/24/2019,825,1575720,1512,96.03%,92.92%,37.76%,0,35
RAM,RAM,7/25/2019,895,1608851,1708,97.26%,94.25%,28.22%,0,30
RAM,RAM,7/26/2019,958,1882292,2008,97.35%,93.27%,26.20%,0,24
RAM,RAM,7/29/2019,896,2435046,2499,95.25%,93.61%,41.82%,0,56.5
RAM,RAM,7/30/2019,890,2024740,1743,96.11%,93.26%,29.32%,0,33.58333333
RAM,RAM,7/31/2019,996,1528135,1478,97.16%,93.17%,30.78%,0,31
RAM,RAM,8/1/2019,980,1685469,1720,97.56%,92.16%,26.16%,0,13
RAM,RAM,8/2/2019,940,1696244,1764,90.21%,89.59%,23.47%,0,12
RAM,RAM,8/5/2019,930,2200194,2780,94.58%,94.44%,36.15%,0,23.5
RAM,RAM,8/6/2019,1008,1672896,1552,80.25%,92.33%,57.86%,0,20.16666667
RAM,RAM,8/7/2019,890,1643326,1554,80.25%,92.33%,38.74%,0,30.25
RAM,RAM,8/8/2019,1018,1799192,1791,93.46%,89.44%,35.18%,0,28.5
RAM,RAM,8/9/2019,914,1480050,1669,92.99%,90.31%,40.68%,0,46.5
RAM,RAM,8/12/2019,991,2257434,2168,95.77%,94.48%,56.64%,0,34.75
RAM,RAM,8/13/2019,984,1969407,1744,92.05%,90.75%,55.16%,0,13
RAM,RAM,8/14/2019,980,1732832,1492,90.30%,89.06%,46.45%,0,34.5
RAM,RAM,8/15/2019,1049,1781706,1706,93.03%,90.39%,41.15%,0,20.75
RAM,RAM,8/16/2019,917,1842095,1895,93.93%,90.58%,31.03%,0,16
RAM,RAM,8/19/2019,992,2213203,2023,95.48%,93.82%,47.60%,0,42
RAM,RAM,8/20/2019,990,1919226,1806,95.93%,93.70%,45.90%,0,23.83333333
RAM,RAM,8/21/2019,979,1804209,1508,96.93%,93.51%,32.76%,0,17.5
RAM,RAM,8/22/2019,976,1674420,1631,94.70%,91.97%,25.14%,0,17.5
RAM,RAM,8/23/2019,952,1520936,1562,92.03%,90.82%,23.94%,0,21.5
RAM,RAM,8/26/2019,1078,2467528,2541,94.42%,92.66%,48.92%,0,25.5
RAM,RAM,8/27/2019,942,1952907,1579,93.55%,90.76%,47.18%,0,9.416666667
RAM,RAM,8/28/2019,906,1511946,1418,93.78%,90.70%,35.19%,0,12.75
RAM,RAM,8/29/2019,1059,1682066,1635,94.16%,93.97%,33.39%,0,28.5
RAM,RAM,8/30/2019,921,1677291,1746,90.87%,90.34%,26.86%,0,30
RAM,RAM,9/2/2019,473,114889,833,#DIV/0!,#DIV/0!,0.00%,0,0
RAM,RAM,9/3/2019,964,2398677,2443,95.86%,94.11%,48.59%,0,55
RAM,RAM,9/4/2019,1004,1853245,1550,93.55%,92.41%,57.61%,0,20
RAM,RAM,9/5/2019,1050,1914822,1567,94.95%,93.17%,40.59%,0,22.5
RAM,RAM,9/6/2019,1044,1937584,1777,91.87%,89.56%,31.40%,0,39.25
RAM,RAM,9/9/2019,888,2203171,2432,92.64%,90.69%,40.17%,0,28
RAM,RAM,9/10/2019,1000,1874852,1667,92.68%,90.77%,46.13%,0,25.5
RAM,RAM,9/11/2019,933,1775279,1622,92.22%,90.24%,30.09%,0,12.25
RAM,RAM,9/12/2019,981,1598590,1700,94.68%,91.94%,32.76%,0,27
RAM,RAM,9/13/2019,838,1658584,1998,91.03%,89.51%,28.88%,0,56.5
RAM,RAM,9/16/2019,971,2175330,2311,97.07%,93.90%,51.58%,0,44
RAM,RAM,9/17/2019,1045,2096017,2019,94.60%,90.82%,59.78%,0,47
RAM,RAM,9/18/2019,956,1963654,1592,92.22%,89.80%,46.86%,0,16
RAM,RAM,9/19/2019,1011,1937441,1889,90.14%,88.19%,38.06%,0,37.91666667
RAM,RAM,9/20/2019,995,2128238,1914,94.49%,91.58%,25.81%,0,24.75
RAM,RAM,9/23/2019,1138,2359612,2311,97.52%,95.87%,47.56%,0,55.25
RAM,RAM,9/24/2019,1109,2161035,1877,91.87%,90.82%,54.82%,0,34.25
RAM,RAM,9/25/2019,1062,1977686,1729,87.23%,83.13%,51.76%,0,32.08333333
RAM,RAM,9/26/2019,1057,2025661,1634,92.94%,91.82%,37.45%,0,48.5
RAM,RAM,9/27/2019,1042,1994985,1832,93.07%,91.57%,28.88%,0,63.25
RAM,RAM,9/30/2019,1033,2171701,2132,94.34%,92.64%,45.22%,0,60.75
RAM,RAM,10/1/2019,1097,1994248,1769,92.52%,93.01%,51.78%,0,22
RAM,RAM,10/2/2019,1139,2007318,1634,95.43%,91.61%,48.16%,0,36.5
RAM,RAM,10/3/2019,1195,2074962,1810,92.16%,93.12%,47.62%,0,38.75
RAM,RAM,10/4/2019,1042,2243718,1851,94.23%,91.20%,30.20%,0,33
RAM,RAM,10/7/2019,1139,2662355,2358,97.44%,94.74%,54.88%,0,78
RAM,RAM,10/8/2019,1302,2574368,1825,95.49%,91.18%,62.63%,0,18.41666667
RAM,RAM,10/9/2019,1215,2434486,1698,94.50%,93.89%,49.29%,0,31
RAM,RAM,10/10/2019,1145,2387426,1787,94.11%,92.78%,30.22%,0,40.16666667
RAM,RAM,10/11/2019,1150,1932519,1691,85.84%,84.05%,32.53%,0,26.5
RAM,RAM,10/14/2019,1110,2633824,2299,95.49%,92.13%,42.11%,0,64.25
RAM,RAM,10/15/2019,957,2098912,1960,95.13%,91.91%,37.45%,0,13.75
RAM,RAM,10/16/2019,975,1686066,1575,92.92%,84.50%,36.89%,0,37
RAM,RAM,10/17/2019,1076,1623880,1501,94.15%,89.77%,38.17%,0,49.25
RAM,RAM,10/18/2019,944,2007031,2061,92.92%,90.33%,24.60%,0,40
RAM,RAM,10/21/2019,1082,2875993,2560,97.82%,94.61%,45.08%,0,23.25
RAM,RAM,10/22/2019,866,2276592,2167,96.18%,90.68%,32.07%,0,31.75
RAM,RAM,10/23/2019,934,1616810,1573,92.16%,88.03%,33.95%,0,45.5
RAM,RAM,10/24/2019,980,1827342,1874,91.39%,91.39%,29.19%,0,36.75
RAM,RAM,10/25/2019,923,1749593,1973,94.39%,92.23%,31.58%,0,39
RAM,RAM,10/28/2019,985,2544265,2927,93.71%,91.13%,41.51%,0,92.5
RAM,RAM,10/29/2019,966,2188828,1864,94.61%,91.31%,43.56%,0,20.25
RAM,RAM,10/30/2019,928,1620689,1487,93.17%,90.01%,37.05%,0,49.5
RAM,RAM,10/31/2019,934,1644153,1743,93.47%,91.13%,30.81%,0,26.08333333
RAM,RAM,11/1/2019,910,1685415,1916,96.53%,92.39%,31.32%,0,51.41666667
RAM,RAM,11/4/2019,920,2655037,2865,98.48%,95.59%,43.49%,0,42.5
RAM,RAM,11/5/2019,1002,2259505,1925,97.77%,93.86%,47.64%,0,30.25
RAM,RAM,11/6/2019,907,1920663,1834,95.37%,92.90%,34.57%,0,8.333333333
RAM,RAM,11/7/2019,940,1824646,1867,97.38%,94.35%,29.89%,0,25.5
RAM,RAM,11/8/2019,1005,1900545,2018,97.08%,92.66%,33.94%,0,37.5
RAM,RAM,11/11/2019,880,2404069,2678,95.86%,93.42%,44.32%,0,28.5
RAM,RAM,11/12/2019,989,2044290,1886,97.28%,93.96%,53.29%,0,12.75
RAM,RAM,11/13/2019,959,2151452,1882,95.54%,92.67%,34.17%,0,20.25
RAM,RAM,11/14/2019,923,1664849,1748,96.89%,95.98%,33.70%,0,12.75
RAM,RAM,11/15/2019,830,2142227,2629,95.05%,93.72%,24.23%,0,17.25
RAM,RAM,11/18/2019,888,2771421,3217,97.75%,93.93%,50.20%,0,69.66666667
RAM,RAM,11/19/2019,1016,2466957,1944,95.55%,94.42%,58.23%,0,53.75
RAM,RAM,11/20/2019,929,2409160,2151,93.98%,93.00%,31.94%,0,15.75
RAM,RAM,11/21/2019,1031,2237903,2055,95.48%,93.27%,27.98%,0,30
RAM,RAM,11/22/2019,1067,2210483,2146,92.76%,89.77%,30.29%,0,37.75
RAM,RAM,11/25/2019,1046,2924606,3053,98.04%,93.19%,49.53%,0,67
RAM,RAM,11/26/2019,1017,2977036,2394,96.13%,92.84%,40.89%,0,21.25
RAM,RAM,11/27/2019,1100,2499099,1939,93.00%,90.30%,33.37%,0,4.5
RAM,RAM,11/28/2019,0,N/A,79,#DIV/0!,#DIV/0!,0.00%,0,0
RAM,RAM,11/29/2019,1088,2151549,1880,97.01%,93.22%,33.14%,0,61
RAM,RAM,12/2/2019,1051,2841932,2861,99.87%,96.26%,45.72%,0,40.5
RAM,RAM,12/3/2019,1006,2505864,2312,98.82%,93.25%,48.88%,0,32.33333333
RAM,RAM,12/4/2019,902,2372126,2261,94.60%,92.27%,33.75%,0,51
RAM,RAM,12/5/2019,969,2115481,2162,97.49%,93.28%,34.27%,0,53
RAM,RAM,12/6/2019,941,2395424,2611,98.39%,93.80%,30.95%,0,50.75
RAM,RAM,12/9/2019,938,3156363,3822,95.80%,92.43%,51.65%,0,52.5
RAM,RAM,12/10/2019,1027,2855277,2682,94.68%,90.65%,70.02%,0,55.25
RAM,RAM,12/11/2019,982,3027027,2532,94.96%,92.26%,52.45%,0,37.5
RAM,RAM,12/12/2019,1067,3025539,2776,97.06%,94.84%,45.71%,0,17
RAM,RAM,12/13/2019,1077,3197280,2773,98.58%,96.25%,38.66%,0,34.25
RAM,RAM,12/16/2019,1073,3073213,3194,99.04%,95.42%,52.63%,0,28.5
RAM,RAM,12/17/2019,1046,3070346,2688,97.04%,94.52%,53.31%,0,25.83333333
RAM,RAM,12/18/2019,1055,3152120,2625,97.94%,95.36%,40.80%,0,40
RAM,RAM,12/19/2019,1050,2876769,2573,98.20%,94.84%,35.06%,0,52.91666667
RAM,RAM,12/20/2019,1127,3134773,2805,95.70%,93.96%,33.01%,0,49.75
RAM,RAM,12/23/2019,1009,3265124,3580,96.47%,94.29%,0.00%,0,46.25
RAM,RAM,12/24/2019,982,2842686,2421,95.32%,91.67%,41.26%,0,25
RAM,RAM,12/25/2019,0,N/A,75,#DIV/0!,#DIV/0!,0.00%,0,0
RAM,RAM,12/26/2019,1017,2555079,2341,95.27%,93.61%,38.19%,0,69.33333333
RAM,RAM,12/27/2019,952,2876690,2873,96.84%,92.93%,25.97%,0,81
RAM,RAM,12/30/2019,1029,3673308,3427,95.51%,93.72%,22.94%,0,50.25
RAM,RAM,12/31/2019,1062,2908967,2605,99.04%,95.01%,25.07%,0,49
RAM,RAM,1/1/2020,0,0,755,#DIV/0!,#DIV/0!,0.00%,0,0
RAM,RAM,1/2/2020,1346,3509437,2525,97.61%,94.65%,52.20%,0,84.83333333
RAM,RAM,1/3/2020,948,3225901,2818,96.58%,94.54%,26.05%,0,95.25
RAM,RAM,1/6/2020,970,3314393,3493,97.91%,94.91%,57.52%,0,119
RAM,RAM,1/7/2020,990,3283285,3143,96.29%,93.94%,58.38%,0,51.25
RAM,RAM,1/8/2020,895,3371000,3098,97.78%,95.26%,37.80%,0,44
RAM,RAM,1/9/2020,925,3245189,3147,96.82%,94.08%,25.74%,0,47
RAM,RAM,1/10/2020,906,2869704,3068,97.65%,94.81%,23.11%,0,58.38333333
RAM,RAM,1/13/2020,866,3326064,3726,96.43%,94.73%,41.01%,0,13.41666667
RAM,RAM,1/14/2020,802,2642077,2891,96.24%,94.06%,38.84%,0,13.91666667
RAM,RAM,1/15/2020,826,2312704,2534,98.94%,93.79%,33.70%,0,21
RAM,RAM,1/16/2020,837,2637612,3238,97.18%,95.17%,29.12%,0,22
RAM,RAM,1/17/2020,830,2521709,2760,97.87%,95.00%,24.13%,0,31.5
RAM,RAM,1/20/2020,867,1810308,2480,97.54%,95.27%,0.00%,0,13
RAM,RAM,1/21/2020,911,2522602,2890,88.66%,90.64%,68.55%,0,55.5
RAM,RAM,1/22/2020,867,2741275,2380,94.52%,93.03%,50.42%,0,26.41666667
RAM,RAM,1/23/2020,908,2556583,2453,97.18%,95.01%,34.57%,0,46.25
RAM,RAM,1/24/2020,824,2456879,2749,97.96%,95.27%,22.44%,0,54.25
RAM,RAM,1/27/2020,859,2791573,2838,96.19%,94.75%,37.49%,0,75.25
RAM,RAM,1/28/2020,843,2295008,2701,95.11%,93.73%,38.84%,0,25.75
RAM,RAM,1/29/2020,847,2254398,2367,94.61%,92.56%,31.85%,0,37.25
RAM,RAM,1/30/2020,896,2041397,2245,95.75%,93.09%,32.12%,0,42.75
RAM,RAM,1/31/2020,895,2210254,2403,99.61%,94.91%,27.22%,0,57.75
RAM,RAM,2/3/2020,1035,2658725,2447,96.62%,95.16%,49.65%,0,74.33333333
RAM,RAM,2/4/2020,935,2423539,2967,96.57%,94.21%,53.49%,0,96.66666667
RAM,RAM,2/5/2020,886,2333895,2117,94.66%,92.67%,50.59%,0,33.76666667
RAM,RAM,2/6/2020,846,2117664,2374,96.11%,94.15%,39.68%,0,38.5
RAM,RAM,2/7/2020,930,2215106,2441,94.90%,93.40%,40.93%,0,68.08333333
RAM,RAM,2/10/2020,950,2785155,2924,97.00%,95.82%,62.18%,0,64
RAM,RAM,2/11/2020,949,2342010,2555,97.09%,95.47%,74.52%,0,42.75
RAM,RAM,2/12/2020,872,2040451,2084,96.33%,93.75%,78.98%,0,48.75
RAM,RAM,2/13/2020,826,2007256,2203,91.41%,91.52%,64.46%,0,52.25
RAM,RAM,2/14/2020,855,1975281,1985,94.95%,94.00%,55.21%,0,75.16666667
RAM,RAM,2/17/2020,983,1784007,1112,94.51%,92.64%,0.00%,0,32
RAM,RAM,2/18/2020,900,2202907,3125,97.29%,95.80%,52.99%,0,84.25
RAM,RAM,2/19/2020,994,2422461,2558,98.98%,95.01%,69.43%,0,38.25
RAM,RAM,2/20/2020,948,2217112,1925,95.87%,95.49%,70.91%,0,30
RAM,RAM,2/21/2020,932,2048446,2318,97.29%,93.96%,64.11%,0,59.83333333
RAM,RAM,2/24/2020,970,2670165,2865,97.13%,94.76%,69.42%,0,57.5
RAM,RAM,2/25/2020,891,2388602,2204,96.63%,94.35%,68.60%,0,54.5
RAM,RAM,2/26/2020,933,2363950,1956,97.56%,94.49%,47.96%,0,44.83333333
RAM,RAM,2/27/2020,984,2314786,2219,97.03%,94.55%,36.10%,0,53.25
RAM,RAM,2/28/2020,971,2258651,2274,95.14%,93.03%,33.16%,0,88.25
